id,text,label
doc_001,Government parliament election policy debate shaped the national reform agenda,politics
doc_002,Parliament election leaders argued about government policy and voting reform,politics
doc_003,Government ministers discussed parliament strategy election law and public policy,politics
doc_004,Football team coach planned the league match with strong defense and attack,sports
doc_005,The league football striker helped the team win an important match,sports
doc_006,Coach and team reviewed football tactics before the playoff league match,sports
doc_007,AI researchers trained a neural network model for document retrieval technology,technology
doc_008,The technology startup released an AI model using neural network search,technology
doc_009,Engineers improved the data system with AI software and neural network tools,technology
doc_010,Hospital doctors studied patient treatment health outcomes and clinical care,health
doc_011,Medical staff improved hospital care with better patient treatment and health support,health
doc_012,Doctors examined nutrition treatment patient recovery and long term health,health
